Row,Document Number,Receive Date,Form Status,Form Status Date,Complainant Connection,Facility Type,Well Name,Well Number,API State Code,API County Code,API Sequence Number,Facility Name,Facility ID,County Name,Qtr Qtr,Section,Township,Range,Meridian,Operator Number,Operator,Initial Contact Date,Method Received,Routed Agency,Issue Category,Issue Description,Issue Resolution,Issue Resolved Date,Letter Sent,NOAV,NOAV Number,Form 19,Form 19 Number,Form 27,Form 27 Number,id,api_number,api_county,county_name,well_number,well_name,lease_number,is_vertical,is_drifted,is_deviated,is_horizontal,facility_id,location_id,location_name,status_code,status_date,operator_number,operator_name,field_code,field_name,usgs_elevation,longitude,latitude,utm_x,utm_y,section,township,range,qtr_qtr,meridian,dist_n_s,dir_n_s,dist_e_w,dir_e_w,loc_qual,is_denver_basin,is_wattenberg,is_piceance_basin,is_raton_basin,is_san_juan_basin,is_denver_aquifer,is_fracked,has_frac_focus_report,ff_job_start_date,ff_job_end_date,ff_reported_date,ff_job_prior_to_rule_205,ff_days_to_report,completion_data_confidential,scout_card_url,created_at,updated_at,is_other_basin
1,200443475,8/7/2017,APPROVED,8/7/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,NOISE,"Location: Pratt Fracking Site Vista Ridge, Erie, CO
Issue: loud noises. Noise is described as Continuous, Thumping, noise you hear, began on 8/5/17.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
2,200443475,8/7/2017,APPROVED,8/7/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,"Sitting in my back yard, there is a terrible odor coming from the Pratt Fracking Site. Odor is described as ""Terrible smell"", first noticed 8/5/17, residence is east of the source.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
3,200443473,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,NOISE,"Location: 1899 Alpine Dr and playground at end of Crestview
Issue: Noise. Noise you can hear. Intermittent, thumping, Thumping and loud banging, first noticed 8/6/2017.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
4,200443473,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,Strong smell of petroleum and general burning. Petroleum and burnt metal. First noticed 8/6/17. Source is 500 feet south of residence.,,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
5,200443472,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,"Location: King Soopers - Sheridan & Hwy 7
Issue: Got out of my vehicle in the parking lot to do some shopping. Wow - really smelled. Very similar to the smells in the Vista Ridge neighborhood that I experienced on Aug 5.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
6,200443471,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,"Location: CRESTONE PEAK RESOURCES OPERATING LLC, Pratt Location in Weld County
Issue: At 4AM we got up to let the dogs out and noticed a strong petroleum smell coming in through our windows. We had to shut the windows as the smell was so strong. 
Odor is described as Petroleum, diesel, residence is 1.25 miles south of the source, first noticed 8/6/17.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
7,200443470,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,"Location: Pratt Pad Site Facility ID: 434526 05-123-38228
Issue: I walked out my front door and am overcome with a thick petroleum smell at 1:45PM today. The wind is coming from the northeast at about 10mph. The temperature is 70F at 67% humidity. The day is overcast at the moment.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
8,200443469,8/6/2017,APPROVED,8/6/2017,nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,"Location: Pratt
Issue: Very bad odor at around 5 PM in our front yard with north winds. It was so bad we had to go inside.
Odor is described as Diesel/diapers, began on 7/1/2017, residence is 600 feet south of the source.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
9,200443468,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,NOISE,"8-1 @ 9:20PM = Same loud noises and slight chemical smell that has been observed on 3 or 4 occasions in the 2 weeks previous. 8-2 @ 1:05AM = Woke up by loud clanging and banging noises. 8-2 @ 2PM = Chemical odor, stronger than before. 8-4 @ 4:40AM = Strongest chemical odor so far. 8-4 @ 10:30PM = Machine noise all through the night. 8-5 = Loud howling / whining noise all day long. 8-6 @ 5:50 AM awoke from loud noises. The loudest so far. Throat and sinuses becoming irritated.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
10,200443468,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,"Location: Pratt site / Weld County / Erie CO / North of Vista Ridge, West of CR 5.
Issue: 8-1 @ 9:20PM = Same loud noises and slight chemical smell that has been observed on 3 or 4 occasions in the 2 weeks previous. 8-2 @ 1:05AM = Woke up by loud clanging and banging noises. 8-2 @ 2PM = Chemical odor, stronger than before. 8-4 @ 4:40AM = Strongest chemical odor so far. 8-4 @ 10:30PM = Machine noise all through the night. 8-5 = Loud howling / whining noise all day long. 8-6 @ 5:50 AM awoke from loud noises. The loudest so far. Throat and sinuses becoming irritated.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
